country_code,country,company_name,company_slug,company_ep_slug,company_id,company_uuid,ep_id,distribution_area,founding_year,email_existing,is_ep_member,is_wlw_member,is_quick_responder,product_name,description,category,offer_uuid,auction_id,slug_id,offer_slug,offer_url
RO,Румъния,INA PLASTIC SRL,ina-plastic-srl-22193228,INA-PLASTIC-SRL,22193228,f0b9c0ab-48fa-3530-a7ca-62e54f3dd2c7,00000005458526-824265001,europe,,True,0,0,False,"Картонена кутия 400x400x400, 5 слоя - Картонена кутия 400x400x400","Продуктът е изработен от вълнообразен картон с 5 слоя, което му придава голяма издръжливост и устойчивост. Кутията идва разглобена и изисква сглобяван...",614250,05850345-a04b-55be-b255-ea9dd8a08b67,1366045,35671320,cutie-de-carton-400x400x400-5-straturi-cutie-de-carton-400x400x400-35671320,https://www.europages.co.uk/bg/products/cutie-de-carton-400x400x400-5-straturi-cutie-de-carton-400x400x400-35671320
RO,Румъния,EXONIA PACKAGING,exonia-packaging-20741264,EXONIA-PACKAGING,20741264,dcae4818-9b35-3bd7-90b2-067a17314b34,00000003989240-257277001,international,2003,True,1,1,False,Листове опаковъчна хартия - За опаковане на готова бърза храна или хранителни стоки,Приложимост: основно се използват в заведения за бързо хранене и магазини за хранителни стоки или в сладкарници и кондитерски. Производство: произвежд...,614293,065afbf5-1b44-5063-9ee0-bca417b72b77,1368280,35449700,hojas-de-papel-para-envolver-para-envasar-productos-preparados-de-comida-rapida-o-productos-de-ultramarinos-35449700,https://www.europages.co.uk/bg/products/hojas-de-papel-para-envolver-para-envasar-productos-preparados-de-comida-rapida-o-productos-de-ultramarinos-35449700
RO,Румъния,EXONIA PACKAGING,exonia-packaging-20741264,EXONIA-PACKAGING,20741264,dcae4818-9b35-3bd7-90b2-067a17314b34,00000003989240-257277001,international,2003,True,1,1,False,"Вентилирана чанта за пресни продукти - Предназначена за опаковане на картофи, лук и плодове, които изискват вентилация.","Приложимост: Предназначен за опаковане на картофи, лук, плодове, които изискват вентилация. Производство: 100% автоматизирано производство от устойчив...",614465,c842a9a2-88d5-55e9-8794-c9330f965a5a,1804022,35281919,bolsa-ventilada-para-productos-frescos-destinado-al-envasado-de-patatas-cebollas-frutas-que-requieren-ventilacion-35281919,https://www.europages.co.uk/bg/products/bolsa-ventilada-para-productos-frescos-destinado-al-envasado-de-patatas-cebollas-frutas-que-requieren-ventilacion-35281919
RO,Румъния,EXONIA PACKAGING,exonia-packaging-20741264,EXONIA-PACKAGING,20741264,dcae4818-9b35-3bd7-90b2-067a17314b34,00000003989240-257277001,international,2003,True,1,1,False,"Персонализируеми вентилирани чанти за пресни продукти - Проектирани за опаковане на картофи, лук и плодове, които изискват вентилация.","Висококачествени и икономични персонализирани вентилирани торби за пресни продукти - проектирани за опаковане на картофи, лук и плодове, които изисква...",614465,61402d68-71af-5f54-b66d-ee96fb029174,1568508,35413089,customizable-ventilated-bags-for-fresh-products-designed-for-packaging-potatoes-onions-and-fruits-that-require-ventilation-35413089,https://www.europages.co.uk/bg/products/customizable-ventilated-bags-for-fresh-products-designed-for-packaging-potatoes-onions-and-fruits-that-require-ventilation-35413089
RO,Румъния,EXONIA PACKAGING,exonia-packaging-20741264,EXONIA-PACKAGING,20741264,dcae4818-9b35-3bd7-90b2-067a17314b34,00000003989240-257277001,international,2003,True,1,1,False,"Вентилирана чанта за опаковане на пресни продукти - опаковане на зеленчуци и плодове, които изискват вентилация.","Приложимост: Използвайте за опаковане: картофи, лук, плодове, които трябва да бъдат вентилирани. Производство: 100% автоматизирано производство от ...",614293,a12368b8-73c2-5cb3-b882-2bc85c788daa,1713326,35415530,punga-ventilata-pentru-ambalare-produse-proaspete-ambalare-legume-si-fructe-care-necesita-aerisire-35415530,https://www.europages.co.uk/bg/products/punga-ventilata-pentru-ambalare-produse-proaspete-ambalare-legume-si-fructe-care-necesita-aerisire-35415530
RO,Румъния,URSPACK,urspack-22237580,URSPACK,22237580,9898060f-8232-36b1-96f5-c1e69e5418a0,00000005505354-001,international,2014,True,0,0,False,Кутии за Сладки и Торти,"Кутии за сладки и торти от Urspack предлагат разнообразие от размери, включително B:200x80 T:200x80 H:55. * КУТИЯ ЗА ХРАНА:D0...",610524,89b92cbd-c935-5823-9527-1d759f9f2f4c,1663202,35782118,sweets-and-cake-boxes-35782118,https://www.europages.co.uk/bg/products/sweets-and-cake-boxes-35782118
RO,Румъния,URSPACK,urspack-22237580,URSPACK,22237580,9898060f-8232-36b1-96f5-c1e69e5418a0,00000005505354-001,international,2014,True,0,0,False,"Хартиена купа за супа + 486cc/16.4 Oz - Хартиена купа за супа - 486cc / 16.4 Oz - Персонализирана, най-добра цена в Европа гарантирана","Хартия, устойчива на мазнини - Купа за супа + капаци ØБ:95 ØТ:105 H:70 Вместимост - 486cc/16.4 Oz - (Персонализирана - Минимално количество за поръчка...",600661,cde83644-42ee-563d-afc7-f1213581c38e,1813826,35306123,paper-soup-bowl-486cc164-oz-paper-soup-bowl-486cc-164-oz-customizable-europe-best-price-guaranteed-35306123,https://www.europages.co.uk/bg/products/paper-soup-bowl-486cc164-oz-paper-soup-bowl-486cc-164-oz-customizable-europe-best-price-guaranteed-35306123
RO,Румъния,URSPACK,urspack-22237580,URSPACK,22237580,9898060f-8232-36b1-96f5-c1e69e5418a0,00000005505354-001,international,2014,True,0,0,False,"Сгъваема Кутия за Взимане 16,6 Oz - Кутия за Взимане B:100x100 T:110x110 H:45 Вместимост- 493cc/16,6 Oz- Персонализируема","Кутия за храна - Устойчив на мазнини Б:100x100 Ш:110x110 В:45 Капацитет - 493cc/16,6 Оз - Персонализирана Персонализирана консултация: Нашият екип мож...",614250,107821b4-5764-5cbb-be6f-3e483e1c5a31,1389179,35478107,folded-take-out-box-166-oz-take-away-box-b100x100-t110x110-h45-capacity-493cc166-oz-customizable-35478107,https://www.europages.co.uk/bg/products/folded-take-out-box-166-oz-take-away-box-b100x100-t110x110-h45-capacity-493cc166-oz-customizable-35478107
RO,Румъния,PROCESS COLOR,process-color-20171341,PROCESS-COLOR,20171341,909244f4-f098-3045-8272-433e06252c7b,00000004689200-488595001,international,1993,True,0,0,False,Automotive Tray - Пластмаса PET,"Производим термоформовани подложки за автомобилни части, изработени от пластмаса (PET). Снимките, показани тук, са наши модели, но можем напълно да пе...",614250,5b03f811-47a2-50b1-bc98-7ace9709e5e5,1560120,35726421,automotive-tray-plastic-pet-35726421,https://www.europages.co.uk/bg/products/automotive-tray-plastic-pet-35726421
RO,Румъния,PROCESS COLOR,process-color-20171341,PROCESS-COLOR,20171341,909244f4-f098-3045-8272-433e06252c7b,00000004689200-488595001,international,1993,True,0,0,False,Пластмасова тава с 4 наклонени отделения за бисквити,"Кутии от пластмаса с 4 наклонени отделения за бисквити с шоколад, сладки и др. Кутиите могат да бъдат и от прозрачен пластмасов материал, по специфика...",614250,234642c2-f954-5a09-b40f-359b1f864b29,1434113,35541547,caserole-din-plastic-cu-4-alveole-inclinate-pentru-biscuiti-35541547,https://www.europages.co.uk/bg/products/caserole-din-plastic-cu-4-alveole-inclinate-pentru-biscuiti-35541547
